,champion,build,C0,C1,C2,C3,C4,C5,C6,C7,C8
104,Maokai,item_ap,0.015197568389057751,0.08662613981762918,0.3586626139817629,0.0,0.3905775075987842,0.0425531914893617,0.09574468085106383,0.010638297872340425,0.0
105,Maokai,item_tank,0.0041753653444676405,0.0918580375782881,0.020876826722338204,0.0,0.778705636743215,0.031315240083507306,0.006263048016701462,0.06680584551148225,0.0
106,MasterYi,item_ad,0.3132530120481928,0.08804448563484708,0.0,0.43002780352177944,0.0,0.0009267840593141798,0.0,0.04911955514365153,0.11862835959221502
107,MissFortune,item_ad,0.06947890818858561,0.07278742762613731,0.011579818031430935,0.34408602150537637,0.0024813895781637717,0.0016542597187758478,0.005789909015715467,0.004962779156327543,0.48717948717948717
108,MissFortune,item_ap,0.09137055837563451,0.0676818950930626,0.5160744500846024,0.00676818950930626,0.01353637901861252,0.01353637901861252,0.21150592216582065,0.00338409475465313,0.07614213197969544
109,MonkeyKing,item_ad,0.47794117647058826,0.0661764705882353,0.0,0.11764705882352941,0.014705882352941176,0.007352941176470588,0.0,0.07352941176470588,0.2426470588235294
110,MonkeyKing,item_bruiser,0.21757925072046108,0.09654178674351585,0.0,0.043227665706051875,0.07636887608069164,0.007204610951008645,0.0,0.5043227665706052,0.05475504322766571
111,Mordekaiser,item_ap,0.3015075376884422,0.08442211055276382,0.004020100502512563,0.007035175879396985,0.09045226130653267,0.0010050251256281408,0.20301507537688443,0.3075376884422111,0.0010050251256281408
112,Mordekaiser,item_tank,0.23529411764705882,0.125,0.0,0.0,0.13970588235294118,0.0,0.11029411764705882,0.38235294117647056,0.007352941176470588
113,Morgana,item_ap,0.014994232987312572,0.07612456747404844,0.5986159169550173,0.0005767012687427913,0.11245674740484429,0.0922722029988466,0.104959630911188,0.0,0.0
114,Nami,item_ap,0.034482758620689655,0.09359605911330049,0.08374384236453201,0.0,0.029556650246305417,0.7487684729064039,0.009852216748768473,0.0,0.0
115,Nami,item_support,0.003787878787878788,0.0928030303030303,0.003787878787878788,0.0,0.02462121212121212,0.875,0.0,0.0,0.0
116,Nasus,item_ap,0.20967741935483872,0.07526881720430108,0.1989247311827957,0.005376344086021506,0.15591397849462366,0.0,0.3279569892473118,0.016129032258064516,0.010752688172043012
117,Nasus,item_bruiser,0.042105263157894736,0.05263157894736842,0.0,0.05263157894736842,0.1368421052631579,0.0,0.0,0.6842105263157895,0.031578947368421054
118,Nasus,item_tank,0.04849884526558892,0.10161662817551963,0.0023094688221709007,0.053117782909930716,0.09930715935334873,0.0,0.006928406466512702,0.6674364896073903,0.020785219399538105
119,Nautilus,item_tank,0.042572463768115944,0.08333333333333333,0.036231884057971016,0.0009057971014492754,0.7789855072463768,0.04891304347826087,0.0009057971014492754,0.008152173913043478,0.0
120,Neeko,item_ap,0.11940298507462686,0.07462686567164178,0.5763490241102182,0.0,0.03214695752009185,0.008036739380022962,0.1894374282433984,0.0,0.0
121,Nidalee,item_ap,0.15272727272727274,0.08,0.1709090909090909,0.0006060606060606061,0.0048484848484848485,0.09212121212121212,0.4915151515151515,0.006060606060606061,0.0012121212121212121
122,Nocturne,item_ad,0.15,0.08928571428571429,0.02857142857142857,0.14642857142857144,0.24285714285714285,0.0035714285714285713,0.0,0.05714285714285714,0.28214285714285714
123,Nocturne,item_bruiser,0.023809523809523808,0.05952380952380952,0.011904761904761904,0.07142857142857142,0.34523809523809523,0.011904761904761904,0.0,0.44047619047619047,0.03571428571428571
124,Nunu,item_ap,0.07428571428571429,0.07428571428571429,0.03428571428571429,0.0,0.4838095238095238,0.02857142857142857,0.1619047619047619,0.14285714285714285,0.0
125,Nunu,item_tank,0.017543859649122806,0.10526315789473684,0.0,0.0,0.6666666666666666,0.021929824561403508,0.013157894736842105,0.17543859649122806,0.0
126,Olaf,item_bruiser,0.1306532663316583,0.04522613065326633,0.0,0.08542713567839195,0.01507537688442211,0.0,0.0,0.6884422110552764,0.035175879396984924
127,Olaf,item_tank,0.19047619047619047,0.047619047619047616,0.0,0.0,0.16666666666666666,0.0,0.0,0.5476190476190477,0.047619047619047616
128,Orianna,item_ap,0.07067510548523206,0.08966244725738397,0.6466244725738397,0.0,0.014767932489451477,0.039029535864978905,0.13924050632911392,0.0,0.0
129,Ornn,item_tank,0.05964214711729622,0.09940357852882704,0.013916500994035786,0.0,0.6779324055666004,0.02385685884691849,0.011928429423459244,0.10536779324055666,0.007952286282306162
130,Pantheon,item_ad,0.36706948640483383,0.06797583081570997,0.0,0.14350453172205438,0.015105740181268883,0.010574018126888218,0.0,0.09667673716012085,0.2990936555891239
131,Pantheon,item_bruiser,0.1984924623115578,0.08040201005025126,0.0,0.09547738693467336,0.07537688442211055,0.005025125628140704,0.0,0.4472361809045226,0.09798994974874371
132,Poppy,item_tank,0.2311212814645309,0.07093821510297482,0.011441647597254004,0.006864988558352402,0.4622425629290618,0.009153318077803204,0.0,0.16704805491990846,0.041189931350114416
133,Pyke,item_ad,0.36210384356035064,0.07215104517869184,0.0006743088334457181,0.24409979770734996,0.015509103169251517,0.013486176668914362,0.0,0.11665542818610924,0.17532029669588672
134,Qiyana,item_ad,0.24880382775119617,0.06379585326953748,0.003189792663476874,0.25996810207336524,0.001594896331738437,0.003189792663476874,0.001594896331738437,0.014354066985645933,0.40350877192982454
135,Quinn,item_ad,0.22016460905349794,0.07613168724279835,0.0,0.21296296296296297,0.012345679012345678,0.00823045267489712,0.0,0.0360082304526749,0.43415637860082307
136,Rakan,item_ap,0.14492753623188406,0.13043478260869565,0.07246376811594203,0.0,0.2463768115942029,0.36231884057971014,0.028985507246376812,0.014492753623188406,0.0
137,Rakan,item_support,0.07303370786516854,0.06741573033707865,0.0056179775280898875,0.0,0.3595505617977528,0.4943820224719101,0.0,0.0,0.0
138,Rakan,item_tank,0.041025641025641026,0.08205128205128205,0.0,0.0,0.4153846153846154,0.46153846153846156,0.0,0.0,0.0
139,Rammus,item_tank,0.08358208955223881,0.08059701492537313,0.023880597014925373,0.0,0.7611940298507462,0.03283582089552239,0.0029850746268656717,0.014925373134328358,0.0
140,RekSai,item_ad,0.28846153846153844,0.11538461538461539,0.0,0.25,0.019230769230769232,0.019230769230769232,0.0,0.057692307692307696,0.25
141,RekSai,item_bruiser,0.16071428571428573,0.10714285714285714,0.0,0.08928571428571429,0.03571428571428571,0.0,0.0,0.5535714285714286,0.05357142857142857
