champion,build,c0_upper,c0_avg,c0_lower,c1_upper,c1_avg,c1_lower,c2_upper,c2_avg,c2_lower,c3_upper,c3_avg,c3_lower,c4_upper,c4_avg,c4_lower,c5_upper,c5_avg,c5_lower,c6_upper,c6_avg,c6_lower,c7_upper,c7_avg,c7_lower,c8_upper,c8_avg,c8_lower
Galio,item_tank,0.17849,0.05115,0.0,0.19087,0.04812,0.0,0.00231,0.00024,0,0.61431,0.27609,0.0,0.36542,0.08566,0,0.86366,0.46625,0.06882885822083462,0.0,0.0,0.0,0.0019,0.00018,0.0,0.2616,0.07231,0.0
Gangplank,item_ad,0.31655,0.09271,0.0,0.0,0.0,0.0,0.43564,0.11566,0,0.03517,0.00205,0.0,0.0,0.0,0,0.03958,0.00228,0.0,0.43203,0.15433,0.0,1.03031,0.63297,0.23562476711342684,0.0002,1e-05,0.0
Garen,item_ad,0.00643,0.00181,0.0,0.0,0.0,0.0,0.26751,0.0495,0,0.00135,0.00015,0.0,0.0,0.0,0,0.10986,0.01032,0.0,0.70372,0.30652,0.0,1.05461,0.6317,0.20879803884570197,0.0,0.0,0.0
Garen,item_bruiser,0.07012,0.01356,0.0,0.0,0.0,0.0,0.33045,0.07188,0,0.01151,0.00089,0.0,0.0,0.0,0,0.07312,0.00632,0.0,0.3765,0.12411,0.0,1.13129,0.78322,0.43514368737514436,0.00049,2e-05,0.0
Garen,item_tank,0.13989,0.03218,0.0,0.0,0.0,0.0,0.32973,0.07167,0,0.07174,0.00942,0.0,0.00219,0.00012,0,0.06002,0.00544,0.0,0.30385,0.08989,0.0,1.12243,0.79115,0.459873417080923,0.00263,0.00013,0.0
Gnar,item_ad,0.55466,0.23281,0.0,0.0,0.0,0.0,0.4018,0.09998,0,0.0,0.0,0.0,0.0002,2e-05,0,0.00031,5e-05,0.0,0.83789,0.44153,0.04517114985849113,0.55266,0.22561,0.0,0.0,0.0,0.0
Gnar,item_bruiser,0.71934,0.36674,0.014149512332396141,0.0,0.0,0.0,0.32644,0.07034,0,1e-05,0.0,0.0,1e-05,0.0,0,0.03462,0.00262,0.0,0.62764,0.28026,0.0,0.61647,0.28003,0.0,0.0,0.0,0.0
Gnar,item_tank,0.82892,0.44281,0.05671367185190901,0.0,0.0,0.0,0.48518,0.13846,0,1e-05,0.0,0.0,0.0,0.0,0,0.12578,0.01481,0.0,0.42808,0.15799,0.0,0.57384,0.24592,0.0,1e-05,0.0,0.0
Gragas,item_ap,0.19258,0.04683,0.0,0.54461,0.21265,0.0,0.06519,0.00441,0,0.94925,0.54129,0.13333364016063992,0.29795,0.06061,0,0.08556,0.0146,0.0,0.0,0.0,0.0,0.00065,7e-05,0.0,0.3662,0.11954,0.0
Gragas,item_tank,0.2457,0.08552,0.0,0.29465,0.09066,0.0,0.01518,0.00151,0,1.05423,0.70201,0.3497961336736831,0.28304,0.05564,0,0.19596,0.04081,0.0,0.0,0.0,0.0,0.00556,0.00102,0.0,0.1285,0.02283,0.0
